TOPPID,Year,Season,SealID,FileName,SamplingFrequency,StartDate,StartTime,excelStartTime
2014019,2014,PB,4551,2014-PB_4551_Kami_Depth+Temp+Kami.txt,5,2/16/2014,11:25:00,41686.47569
2014020,2014,PB,4587,2014-PB_4857_Kami_Depth+Temp+Kami.txt,5,2/13/2014,14:40:00,41683.61111
2014018,2014,PB,U448,2014-PB_U634_Kami_Depth+Temp+Kami.txt,5,2/13/2014,14:43:00,41683.61319
2014011,2014,PB,U842,2014-PB_U842_Kami_Depth+Temp+Kami.txt,5,2/3/2014,12:32:00,41673.52222
2014013,2014,PB,VX372,2014-PB_VX372_Kami_Depth+Temp+Kami.txt,5,2/10/2014,16:20:00,41680.68056
2014016,2014,PB,X822,2014-PB_X822_Kami_Depth+Temp+Kami.txt,5,2/11/2014,15:01:00,41681.62569
2014015,2014,PB,X823,2014-PB_X823_Kami_Depth+Temp+Kami.txt,5,2/11/2014,14:29:00,41681.60347
2015003,2015,PB,X 71,2015-PB_4178_Kami_Depth+Temp+Kamitxt.txt,5,2/11/2015,9:01:00,42046.37569
2015002,2015,PB,4441,2015-PB_4441_Kami_Depth+Temp+Kamitxt.txt,5,2/9/2015,9:41:00,42044.40347
2015010,2015,PB,4629,2015-PB_4629_Kami_Depth+Temp+Kamitxt.txt,5,2/15/2015,16:52:00,42050.70278
2015005,2015,PB,5061,2015-PB_5061_Kami_Depth+Temp+Kamitxt.txt,5,2/13/2015,9:21:00,42048.38958
2015009,2015,PB,6037,2015-PB_6037_Kami_Depth+Temp+Kamitxt.txt,5,2/15/2015,10:35:00,42050.44097
2015004,2015,PB,6651,2015-PB_6651_Kami_Depth+Temp+Kamitxt.txt,5,2/12/2015,7:43:00,42047.32153
2015017,2015,PB,6762,2015-PB_6762_Kami_Depth+Temp+Kamitxt.txt,5,2/21/2015,11:21:00,42056.47292
2015001,2015,PB,U549,2015-PB_U549_Kami_Depth+Temp+Kamitxt.txt,5,2/9/2015,11:25:00,42044.47569
2015006,2015,PB,YN371,2015-PB_YN371_Kami_Depth+Temp+Kamitxt.txt,5,2/14/2015,16:14:00,42049.67639
2016004,2016,PB,3942,2016-PB_3942_Kami_Depth+Temp+Kami.txt,5,2/6/2016,11:50:00,42406.49306
2016006,2016,PB,5572,2016-PB_5572_Kami_Depth+Temp+Kami.txt,5,2/9/2016,18:32:00,42409.77222
2016005,2016,PB,9678,2016-PB_9678_Kami_Depth+Temp+Kami.txt,5,2/9/2016,18:31:00,42409.77153
2016007,2016,PB,R415,2016-PB_R415_Kami_Depth+Temp+Kami.txt,5,2/11/2016,17:08:00,42411.71389
2016002,2016,PB,T19,2016-PB_T19_Kami_Depth+Temp+Kami.txt,5,2/3/2016,15:48:00,42403.65833
2016013,2016,PB,U781,2016-PB_U781_Kami_Depth+Temp+Kami.txt,5,2/19/2016,14:09:00,42419.58958
2016001,2016,PB,VX358,2016-PB_VX358_Kami_Depth+Temp+Kami.txt,5,2/4/2016,15:07:00,42404.62986
2016009,2016,PB,4448,2016-PB_4448_Kami_Depth+Temp+Kami(KL-16001).txt,5,2/12/2016,13:39:00,42412.56875
2016011,2016,PB,5628,2016-PB_5628_Kami_Depth+Temp+Kami(KL-16002).txt,5,2/12/2016,13:41:00,42412.57014
2017001,2017,PB,6108,2017-PB_6108_Kami_Depth+Temp+Kami(KL-16001).txt,5,2/10/2017,14:26:00,42776.60139
2017002,2017,PB,U20,2017-PB_U20_Kami_Depth+Temp+Kami(KL-16002).txt,5,2/10/2017,14:28:00,42776.60278
2017003,2017,PB,5712,2017-PB_5712_Kami_Depth+Temp+Kami(KL-17038).txt,5,2/11/2017,14:43:00,42777.61319
2017004,2017,PB,B794,2017-PB_B794_Kami_Depth+Temp+Kami(KL-17039).txt,5,2/11/2017,14:46:00,42777.61528
2018001,2018,PB,4441,2018-PB_4441_Kami_Depth+Temp+Kami(KL-16001).txt,5,2/6/2018,15:19:00,43137.63819
2018002,2018,PB,X553,2018-PB_X553_Kami_Depth+Temp+Kami(KL-16002).txt,5,2/6/2018,15:21:00,43137.63958
2018006,2018,PB,X817,2018-PB_X817_Kami_Depth+Temp+Kami(KL-17039).txt,5,2/9/2018,23:45:00,43140.98958
2015007,2015,PB,X30,,,,,
