SealID,TOPPID,SatTagManufacturer,SatTagType,SatTagID,SatTagPTT,SatTagQC,SatTagComment,TDR1Manufacturer,TDR1Type,TDR1ID,TDR1Loc,TDR1QC,TDR1Comments,TDR1Manufacturer,TDR2Type,TDR2ID,TDR2Loc,TDR2QC,TDR2Comments,TDR1Manufacturer,TDR3Type,TDR3ID,TDR3Loc,TDR3QC,TDR3Comment,Other1,Other1Loc,Other1Comment,Other2,Other2Loc,Other2Comment,Other3,Other3Loc,Other3Comment
N17,2006046,Wildlife Computers,SPOT,04S0138,37597,,,Wildlife Computers,Mk10,06A0169,Back,,,,,,,,,,,,,,,,,,,,,,,
R575,2006047,Wildlife Computers,SPOT,04S0660,56485,,noisy locations,Wildlife Computers,Mk10,06A0209,Back,,,,,,,,,,,,,,,,,,,,,,,
1817,2006048,Wildlife Computers,SPOT,04S0658,56483,,noisy locations,Wildlife Computers,Mk10,06A0157,Back,,,,,,,,,,,,,,,,,,,,,,,
O80,2006049,Wildlife Computers,Mk10,06A0172,39454,,,Wildlife Computers,Mk10,06A0172,Head,,,,,,,,,,,,,,,,,,,,,,,
1641,2006050,Wildlife Computers,SPOT,04S0117,37591,,,Wildlife Computers,Mk10,06A0160,Back,,,,,,,,,,,,,,,,,,,,,,,
1113,2006051,Wildlife Computers,Mk10,06A0174,28596,,few locations,Wildlife Computers,Mk10,06A0174,Head,,,,,,,,,,,,,,,,,,,,,,,
O242,2006052,Wildlife Computers,Mk10,06A0173,24176,,,Wildlife Computers,Mk10,06A0173,Head,,,,,,,,,,,,,,,,,,,,,,,
1150,2006053,Wildlife Computers,Mk10,06A0079,25955,,few locations,Wildlife Computers,Mk10,06A0079,Head,,,,,,,,,,,,,,,,,,,,,,,
R749,2006054,Wildlife Computers,Mk10,06A0151,56492,,weird loopy and few locations,Wildlife Computers,Mk10,06A0151,Head,,,,,,,,,,,,,,,,,,,,,,,
M583,2006055,SMRU,GPS,10369,23099,,,Wildlife Computers,Mk10,06A0159,Back,,,SMRU,GPS,10369,Head,,,,,,,,,,,,,,,,,
1830,2006056,SMRU,GPS,10366,14753,,,Wildlife Computers,Mk10,06A0162,Back,,,SMRU,GPS,10366,Head,,,,,,,,,,,,,,,,,
1502,2006057,SMRU,GPS,10367,23097,,,Wildlife Computers,Mk10,06A0163,Back,,,SMRU,GPS,10367,Head,,,,,,,,,,,,,,,,,
W526,2006058,SMRU,GPS,10381,22921,,,Wildlife Computers,Mk10,06A0171,Back,,,SMRU,GPS,10381,Head,,,,,,,,,,,,,,,,,
M141,2006059,Wildlife Computers,SPOT,04S0665,56490,,,Wildlife Computers,Mk9,0490963,Back,,,,,,,,,,,,,,,,,,,,,,,
R299,2006060,Wildlife Computers,SPOT,06S0666,56491,,,Wildlife Computers,Mk10,06A0213,Back,,,,,,,,,,,,,,,,,,,,,,,
O564,2006061,SMRU,GPS,10365,65982,,,Wildlife Computers,Mk10,06A0360,Back,,,,,,,,,,,,,,,,,,,,,,,
Pepa,2006062,Wildlife Computers,SPOT,,59114,,few locations,Wildlife Computers,Mk9,0490951,Back,,,,,,,,,,,,,,,,,,,,,,,
1812,2007001,Wildlife Computers,SPOT,,59108,,,Wildlife Computers,Mk9,0490352,Back,,,,,,,,,,,,,,,,,,,,,,,
1623,2007002,Wildlife Computers,SPOT,04S0214,44637,,,Wildlife Computers,Mk9,0490850,Back,,,,,,,,,,,,,,,,,,,,,,,
J494,2007003,Wildlife Computers,SPOT,04S0209,44634,,"very short/coastal, check",Wildlife Computers,Mk9,0490854,Back,,,,,,,,,,,,,,,,,,,,,,,
2090,2007004,Wildlife Computers,SPOT,05S0069,59111,,,Wildlife Computers,Mk9,0490851,Back,,,,,,,,,,,,,,,,,,,,,,,
O731,2007005,Wildlife Computers,SPOT,04S0208,44633,,,Wildlife Computers,Mk9,0490357,Back,,,,,,,,,,,,,,,,,,,,,,,
M215,2007006,Wildlife Computers,SPOT,05S0070,59112,,,Wildlife Computers,Mk9,0490158,Back,,,,,,,,,,,,,,,,,,,,,,,
R94,2007007,Wildlife Computers,SPOT,05S0072,59114,,,Wildlife Computers,Mk9,0490151,Back,,,,,,,,,,,,,,,,,,,,,,,
1735,2007008,Wildlife Computers,SPOT,05S0073,59115,,,Wildlife Computers,Mk9,0490132,Back,,,,,,,,,,,,,,,,,,,,,,,
R948,2007009,Wildlife Computers,SPOT,04S0210,44635,,,Wildlife Computers,Mk9,0490122,Back,,,,,,,,,,,,,,,,,,,,,,,
R541,2007010,Wildlife Computers,SPOT,05S0071,59113,,,Wildlife Computers,Mk9,0490336,Back,,,,,,,,,,,,,,,,,,,,,,,
1901,2007011,Wildlife Computers,SPOT,05S0067,59109,,,Wildlife Computers,Mk9,0490853,Back,,,,,,,,,,,,,,,,,,,,,,,
1751,2007012,Wildlife Computers,SPOT,04S0216,44639,,No useable data,Wildlife Computers,Mk9,0490117,Back,,,,,,,,,,,,,,,,,,,,,,,
WX444,2007013,Wildlife Computers,SPOT,04S0207,44632,,,Wildlife Computers,Mk9,0490877,Back,,,,,,,,,,,,,,,,,,,,,,,
1869,2007014,Wildlife Computers,Mk10,06A0149,56480,,,Wildlife Computers,Mk10,06A0149,Head,,,,,,,,,,,,,,,,,,,,,,,
W1412,2007015,Wildlife Computers,Mk10,06A0174,28596,,,Wildlife Computers,Mk10,06A0174,Head,,,,,,,,,,,,,,,,,,,,,,,
L634,2007016,Wildlife Computers,SPOT,05S0065,59107,,,Wildlife Computers,Mk9,0490360,Back,,,,,,,,,,,,,,,,,,,,,,,
R279,2007017,Wildlife Computers,SPOT,05S0068,59110,,,Wildlife Computers,Mk9,0490963,Back,,,,,,,,,,,,,,,,,,,,,,,
1789,2007018,Wildlife Computers,SPOT,05S0074,59116,,,Wildlife Computers,Mk9,0490156,Back,,,,,,,,,,,,,,,,,,,,,,,
K562,2007019,SMRU,CTD,10575,72775,,,Wildlife Computers,Mk9,0490858,Back,,,,,,,,,,,,,,,,,,,,,,,
WX265,2007020,SMRU,CTD,10574,72771,,,Wildlife Computers,Mk9,0490157,Back,,,SMRU,CTD,10574,Head,,,,,,,,,,,,,,,,,
R999,2007030,SMRU,CTD,10587,35683,,,Wildlife Computers,Mk10,06A0212,Back,,,SMRU,CTD,10587,Head,,,,,,,,,,,,,,,,,
R697,2007031,SMRU,CTD,10585,35682,,,Wildlife Computers,Mk10,06A0213,Back,,,SMRU,CTD,10585,Head,,,,,,,,,,,,,,,,,
R949,2007032,Wildlife Computers,SPOT,04S0663,56488,,,Wildlife Computers,Mk10,06A0171,Back,,,,,,,,,,,,,,,,,,,,,,,
N981,2007033,Wildlife Computers,SPOT,04S0665,56490,,,Wildlife Computers,Mk10,06A0170,Back,,,,,,,,,,,,,,,,,,,,,,,
